PC9,VS_GLOBAL,SKU_1_2_SEARS,SKU_2_2_LIVERPOOL,MARCA,GENDER ,COLLECTION,USE_TYPE,LINE,NAME,DESCRIPTION,EXTENDED_DESCRIPTION,MATERIAL,COLOR,SPANISH_COLOR,SHOOTING,STATUS
195860139,19586-0139,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.","58% Algod¢n, 39% Poli‚ster, 3% Elastano",Carver MarsHousemarkallow ,Multicolor,SI,-
195860126,19586-0126,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.","58% Algod¢n, 39% Poli‚ster, 3% Elastano",Carver Jelly Bean ,Multicolor,SI,-
195860125,19586-0125,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.","58% Algod¢n, 39% Poli‚ster, 3% Elastano",Carver True Blue ,Multicolor,SI,-
195860018,19586-0018,3831361,1079644412,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Sebastopol Nightwatch Blue,Negro,SI,-
195860001,19586-0001,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Black,Negro,SI,-
195860123,19586-0123,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Rassett Jelly Bean ,Verde/Azul,SI,-
232510112,23251-0112,3839589,-,Levi's,Men's,Red Tab,Moda,Tops,Carrier Cargo Short,"Short,  cintura media,  cierre en bragueta ","Cargo Shorts modernos £tiles y con espacio para llevar cosas. Estos cuentan con bragueta de cierre, bolsillos de carga con solapa y bot¢n. Corte a la cintura y que termina justo debajo de la rodilla, con un ajuste relajado a lo largo de cadera y muslos.","98% Algod¢n, 2% Elastano",Phalarope Demitasse ,Multicolor,SI,-
727510000,72751-0000,-,1078856190,Levi's,Juniors,Red Tab,B sico,Tops,Ltwt Bomber Trucker,"Chamarra tipo crop, bolsillos en el frente, botones de metal, el stico ajustable en el ruedo. ","Chamarra inspirada en la silueta de una bomber jacket, bolsillos laterlaes, cierre, cuellos, pu¤os y pretina con elastico,ÿcomplementa tu look con esta Bomber Trucker.","43% Algod¢n, 22% Poli‚ster, 22% Hemp, 12% Modal, 1% Elastano",Cargo Bomber,Azul medio ,SI,-
676870001,67687-0001,3387695,-,Levi's,Juniors,Red Tab,B sico,Tops,Reese Windbreaker,"Chamarra, manga larga, estampado de flores con contraste en hombros, bolsillos al frente con cierre. ","Chamarra inspirada en la silueta de una bomber jacket, bolsillos laterlaes, cierre, cuellos, pu¤os y pretina con elastico,ÿcomplementa tu look con esta chamarra Levi's Reese Windbreaker.",100% Poli‚ster,Lineartropical Caviar,Negro ,SI,-
677150001,67715-0001,-,1078856041,Levi's,Juniors,Red Tab,B sico,Tops,Geri Jacket,"Chamarra, contraste a color blanco en mangas, zip de metal,bordado al frente. ","Chamarra inspirada en la silueta de una bomber jacket, bolsillos laterlaes, cierre, cuellos, pu¤os y pretina con elastico,ÿcomplementa tu look con esta chamarra Levi's.","60% Algod¢n, 40% Polyamide",Lychee Red,Multi-color,SI,-
562080001,56208-0001,-,1079560456,Levi's,Juniors,Red Tab,B sico,Tops,Savannah Jacket,"Chaqueta,dos bolsillos al frente,botones de ojal,manga larga.","Chamarra inspirada en la silueta de una bomber jacket, bolsillos laterlaes, cierre, cuellos, pu¤os y pretina con elastico,ÿcomplementa tu look con esta Savannah Jacket.",100% Algod¢n,Bluish Olive X,Olivo,SI,-
DMPBRV014,DMPBR-V014,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,Cintur¢n reversible al corte con back spray en hebilla (logo) Dockers©,"Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Sandalo/Marino,Sandalo/Marino,SI,-
DMPBRV000,DMPBR-V000,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,Cintur¢n reversible al corte con back spray y feather edge en hebilla (tipograf¡a) Dockers©,"Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Canela/Black Ink,Canela/Black Ink,SI,-
DMPBRV028,DMPBR-V028,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,Cintur¢n reversible al corte con feather edge en hebilla (logo) Dockers©,"Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Ladrillo/Negro,Ladrillo/Negro,SI,-
DMLBRW008,DMLBR-W008,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible 100% Piel,"Cintur¢n reversible al corte con feather edge,  branding en pasacinto (tipograf¡a), 100% piel","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.",100% Piel,Testa/Black,Testa/Black,SI,-
DMPBRW021,DMPBR-W021,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en hebilla (logo)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Negro/Arcilla,Negro/Arcilla,SI,-
DMLBRW004,DMLBR-W004,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible 100% Piel,"Cintur¢n reversible al corte,  branding en hebilla (logo), 100% piel","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.",100% Piel,Testa/Black,Testa/Black,SI,-
DMPBRW020,DMPBR-W020,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en hebilla (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Azabache/Marino,Azabache/Marino,SI,-
DMPBRW026,DMPBR-W026,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en hebilla (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Marino/Azabache,Marino/Azabache,SI,-
DMPBRW008,DMPBR-W008,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en pasacinto (logo)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Bisonte/Negro,Bisonte/Negro,SI,-
DMPBRW009,DMPBR-W009,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en pasacinto (logo)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Cognac/Marino,Cognac/Marino,SI,-
DMPBRW024,DMPBR-W024,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en pasacinto (logo)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Marino/Cognac,Marino/Cognac,SI,-
DMPBRW013,DMPBR-W013,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en pasacinto (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Negro/Gris,Negro/Gris,SI,-
DMPBRW012,DMPBR-W012,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible al corte,  branding en pasacinto (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Seb Moro/Negro,Seb Moro/Negro,SI,-
DMLBRW007,DMLBR-W007,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible 100% Piel,"Cintur¢n reversible al corte,  branding en pasacinto (tipograf¡a), 100% piel","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.",100% Piel,Black/Light Brown,Black/Light Brown,SI,-
DMPBRW003,DMPBR-W003,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible con con pespunte a tono y feather edge,  branding en hebilla (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Marr¢n/Negro,Marr¢n/Negro,SI,-
DMPBRW015,DMPBR-W015,-,-,Dockers©,Men's,Accesorios,B sico,Belts,Cintur¢n Reversible ,"Cintur¢n reversible con con pespunte a tono,  branding en hebilla (tipograf¡a)","Cintur¢n reversible con el cual podr s mostrar tu mejor faceta, en cualquier ocasi¢n.","52% Poliuretano, 48% Piel",Negro/Topo,Negro/Topo,SI,-
